,Energía Solar
971,743115.28
233,627949.37
763,304952.81
346,1517930.5
206,805476.73
409,660450.83
255,1186740.06
321,892010.71
942,216082.7
892,590953.59
95,498233.56
619,28074.4
1180,514099.23
446,24743.62
1301,33977.37
334,1061244.16
827,34452.33
53,524751.0
604,17351.58
922,21966.25
927,15616.35
294,1020901.62
903,7966.9
552,12918.0
472,103360.6
197,424036.18
1082,278.12
685,34190.09
109,833878.19
247,656978.9
932,30412.46
1113,381615.25
904,9195.75
517,38148.74
557,16149.81
548,6625.64
113,1740580.92
428,886609.47
1297,66724.83
959,492189.24
755,137174.8
364,656978.9
834,25013.9
515,41671.78
1298,68185.35
1206,499960.6
407,666607.33
44,352727.66
1257,38148.74
1098,216082.7
265,833878.19
5,1752.56
415,952286.75
996,7636.46
227,932767.52
513,38270.68
742,152049.78
794,30.64
1149,26402.86
97,660450.83
1165,44123.75
901,4453.85
961,338892.42
492,451443.66
22,2499.03
603,13752.01
1065,591.13
403,656978.9
476,289258.3
1089,636.36
1133,23793.13
1096,103360.6
200,619850.31
72,1011231.94
1292,39923.96
732,838964.02
37,2296.58
373,1061244.16
59,1020901.62
470,97910.32
722,1186740.06
581,19027.92
13,1215.84
